	pol_Latn	csb_Latn
97	chwilowy błąd w tłumaczeniu nazwy	czasowô fela w dolmaczënkù miona
98	otumanić	òszalëc
99	Zresetuj szynę	Wëgenerëjë reset Bus
100	"Określa, jak KTTS powinien mówić o zdarzeniu. Jeśli wybierzesz ""Powiedz własny tekst,"" podaj tekst w ramce. Możesz użyć następujących parametrów w tekście e Nazwa zdarzenia a Program, który wysłał zdarzenie m Wiadomość wysłana przez program"	"Òpisëje, jak KTTS mùszi gôdac ò dzejaniém. Jeżlë wëbiérzesz ""Gôdôj swòj tekst,"" napiszë tekst w ramie. Mòżesz ùżëc nëch paramétrów w teksce e Miono dzejania a Programa, chtërna wësła dzejanié m Wiadło wësłóné przez programã"
101	rak	rek
102	Nowy zestaw	Nowô schema
103	data	data
104	bezleśny	bez lasów
105	Uwaga Twoje dane będą przekazane przez sieć bez szyfrowania. Kontynuować?	Bôczënk Twòje pòdôwczi bãdą wësłóne przez séc bez szifrowaniô. Jisc dali?
106	Niebieskozielony, żółty, czarny	Mòdrozelony, żôłti, czôrny
107	łakotliwość	łakòtlëwòsc
108	chłopaczyna	knapskò
109	wioślarz	wioslôrz
110	rozkopywać	rozkòpòwac
111	nieboractwo	niebòractwò
112	Pobranie nowych motywów z Internetu	Dobëjë nowé témë z internetu.
113	kiwać się	cziwac sã
114	HDLC	HDLC
115	biczysko	batożëszcze
116	morderstwo	mòrdarstwò
117	dopomaganie	dopòmôganié
118	amoroso	miłotno
119	cantica	kanticzi
120	teraz	terôzkã
121	izdebka	jizdebka
122	pewność	gwësnosc
123	czworościan	sztëroscón
124	Pokazanie kół zębatych w sześcianie	Wëskrzëniô wirtualny pùlt na scanie szescanu
125	Frank kongijski	Kòmòrjańsczi Frank
126	Europa Wyspa Man	Eùropa Isle of Man
127	Burza, lekki deszcz, gradweather condition	weather condition
128	chwała	tcza
129	poziomy	równie
130	kłótnia	szkalinga
131	Kłoniecznica	Kłonecznica
132	marazm	marazm
133	żak na węgorze	wãgòrzińc
134	przedpòle	przedrowié
135	naczelnik	przédnik
136	unieszczęśliwić	ùnieszczestlëwic
137	gubić	zbëwac
138	elewacja	elewacjô
139	tlić się	marwic sã
140	warto	wôrtno
141	bratobójczy	bratobójczi
142	uskutecznić	wërobic
143	Tylko wyświetlanie	Blós wskôzëwôcz
144	opłacać się	lónowac
145	Szeryfowa Font name	Serif Font name
146	racjonalny	racjonalny
147	Możesz nie mieć praw do przyjęcia tego połączenia.	Mòżesz nie miec dosc prawa do przëjãcô negò sparłãczeniô.
148	mieć loki	kruzowac sã
149	odnajmować	odnajëmac
150	wielki	strodżi
151	Nie skonfigurowano usługi.	Felëją skònfigùrowóné ùsłëżnotë
152	anektować	mòcą przëłãczac
153	Zaznacz	Wëbierzë
154	narcyz	narcyz
155	Usunąć motywy?	Rëmnąc témë?
156	gorączkowy	gòrączkòwi
157	Zemberek label listbox	Zemberek label listbox
158	wić	krãcëc
159	szwajcaria	szwajcarskô
160	łamliwość	łómnota
161	Podczas wykonywania zadania wystąpił błąd	W programie pòkôza sã fela przë robòce
162	Nie można pobrać pierwszego wynikuQODBCResult	QODBCResult
163	pierworodztwo	pierwòrództwò
164	spalony	spôlony
165	DeskJet C z duplekserem	DeskJet C z duplekserã
166	rozsadzać	rozsadzac
167	rozrzutność	rozrzëtnosc
168	nieświadomy	nieswiadomosc
169	Uruchom F	Zrëszë F
170	wganiać	wganiac
171	Kanał lewy	Lewi kanał
172	zasługiwać	zasłëgòwac
173	niewinność	niedowinnosc
174	niezależność	niezanôleżnosc
175	nie podobać	mirzec
176	pielęgniarka	sostra
177	pagórek	ùrzemka
178	Ogólne	Òglowi
179	Nie można nasłuchiwać	Ni mòże nasłëchiwac
180	Włączoneunderline	Włączonéunderline
181	nędznie	marnie
182	Opis przeglądarki użytkownika Lynx..	Òpisënk programë brëkòwnika Lynx . .
183	wyszczególnienie	wëkôz
184	dwunastokrotnie	dwanôscekrotno
185	ostro	ostro
186	królować	królowac
187	bicie	alenié
188	nastalenie	ucwardzenié stôlë
189	Nie udało się znaleźć żadnego widoku, więc nie można nic skonfigurować.	Systemòwé nastôwë ni mògłë nalezc niżódnëch wëzdrzatków, téj nick nie je przëstãpné do kònfigùracëji.
190	łbisko	łbiskò
191	Cholesterol Free Desktop Environment, wersja środowisko graficzne podobne do CDE.	Cholesterol Free Desktop Environment, wersëjô graficzné òkrãże szlachùjące za CDE
192	okazać się	òkazac sã
193	odprząć	òddzerzgnąc
194	zagrażać	zagrażac
195	Nie można zidentyfikować bieżącego stanowiska.	Ni mòże ùsôdzëc gniôzda!
196	oblizać	òblizac
197	oboczny	równowôrtny
198	podmiejski	zamiesczi
199	Nagrywaj media	Nagrôj media
200	Intensywne ulewy deszczoweweather condition	weather condition
201	Halina	Léna
202	pościągać	pòscygnąc
203	naczyniak płaski	òdżin
204	Intensywna mżawkaweather condition	weather condition
205	dołożyć	dołożëc
206	Obrazek tła elementów interfejsu	Spódkòwi òbrôzk dlô panelów
207	Skalowanie	Skalowóno
208	Suma ogólna	Òglowé pòdrëchòwanié
209	wiać	chôłpac
210	Podczas próby zakończenia udostępnienia katalogu wystąpił błąd. Proszę sprawdzić, czy skrypt perlowy fileshareset ma ustawioną flagę suid root. NAME OF TRANSLATORS	NAME OF TRANSLATORS
211	babrać się	gwańdac
212	Menu czcionek	Menu kanalów
213	błędny	błãdny
214	mający przeszło rok	przezroczny
215	cenzuralny	cenzuralny
216	wariactwo	wariactwò
217	aukcja	ùtrôp
218	bezdenny	bezdnowi
219	nieśmiały	sromajk
220	Otwórz terminal	Òtemkni Terminal
221	Sebastian	Sebastión
222	Gatunek Group length total play of group playlist column name and token for playlist layouts	Zort Group length total play of group playlist column name and token for playlist layouts
223	Jeśli okaże się, że warto wysłać raport, ale program nie jest obsługiwany przez system śledzenia błędów KDE, należy skontaktować się bezpośrednio z opiekunem programu. info	Jeżlë jes ti dbë, że wôrt je sélac rapòrt a programa je wspierónô przez systemã szlachòwaniô felów KDE, nót je ce sparłãczëc sã prosto z opiekùnã programë. info
224	odsprzedawać	òdprzedac
225	Wystąpił błąd wewnętrzny. Proszę powtórzyć próbę.	Wëstãpiła bënowô fela. Proszã pòwtórzëc probã.
226	zwiady	wëdowiadë
227	bałamutka	szelmiszczkò
228	Wykrywanie zmiennych środowiskowych z danymi pośrednika	Aùtomatné wëkrëwanié zmiennëch z pòdôwkama pòstrzédnika
229	deputacja	depùtacjô
230	astralny	gwiôzdowi
231	anszlus	włączenié
232	rozścielić	rozscelëc
233	rozbeczeć się	rozbleczec sã
234	palmiarnia	palmiarniô
235	carski	carsczi
236	Błąd Nie można uruchomić smbstatus	Fela Nie mòże zrëszëc smbstatus
237	Instaluj wpisy menu Start jest to także domyślne, kiedy ta opcja nie zostanie użyta	Instalëjë wpisënczi menu Start to je téż domëszlné czej òptacëjô nie je w ùżëcym
238	DDD	DDD
239	Kalkulator	Kalkùlatora
240	Powszechnie używane programy z ograniczonymi dla Kubuntu prawami własnościowymi mp, avi, mpeg, TrueType, Java, Flash	Czãsto ùżëwóné programë z restrikcjama dlô Kubuntu mp, avi, mpeg, TrueType, Java, Flash
241	odskoczyć	òdskòknąc
242	Wersja KDE i rozbudowa	Przepisanié na KDE ë dodôwczi
243	wyrębywać	wërãbiac
244	częściowo	dzélã
245	babiarz	babiôrz
246	guz	kòk
247	Skopiuj obrazOpen Frame in New Window	Open Frame in New Window
248	zachodzić	zachòdzëc
249	łowny	łowny
250	wobec	procemni
251	niezależność państwowa	niezanôleżnosc
252	zaskrzeczeć	zaskrzeczec
253	pościć	mrzéc
254	AgrIndian	AgrIndian
255	płazować	bic plazą
256	inspirować	pòdskacac
257	nygusować	leganic
258	Urządzenie wykańczające opcja	Wëkùńczającé ùrządzenié dodówny
259	Dodatkowe opcje	Dodôwné òptacëje
260	banalnie	banalnie
261	muchomor	mùchòrôj
262	Skrypt Unicode	Skript unicode
263	narybiać	napùscëc rëbi młodzënë
264	diabliczka	stósnica
265	cerka	môl zasztepòwóny
266	małpiatka	môłpiôtka
267	upadek	ùpôdk
268	kolejno	pòsobicą
269	Bonus, jeżeli >	Bònus czej >
270	aloesowy	aloesowi
271	babrać się	czapac sã
272	Andżelika	Andżelika
273	gabinet	gabinet
274	czczenie	tczenié
275	niezdarność	nieszëkòwnosc
276	ciemię	cemiã
277	kąsek	sztëczk
278	uruchomiony	zapùszczony
279	niewygodnie	niewëgòdnie
280	Serwery, skrypty stron	Serwery, skriptë starnów
281	worek	miech
282	szafarki dotyczący	szafôrczin
283	płetwa	płatwa
284	korzennik	hańdlôrz przëprawama
285	bałaganiarstwo	bałaganiarstwò
286	leszczowy	leszczowi
287	niespełnienie	niezjiscenié
288	lama	lama
289	uprzejmie	miłoscëwie
290	beleczka	baleczka
291	Spróbuj ułożyć elementy w odpowiedniej kolejności	Ùłożë pòprówno elementë
292	Koperta monarchy	Kùwerta mònarchë
293	morda	flaba
294	Interfejs skryptów	Skriptowé ùãłëżnotë
295	wygodnie	wëgòdno
296	Dziadek	Stark
297	sprawiedliwość	sprawiedlëwòsc
298	Informacje o ustawieniach dźwięku	Wëdowiédzô ò nastôwach zwãkù
299	bzykać	brzãczec
300	Wymienne	Przenosné
301	Solaris info	Solaris info
302	zatrząść się	zaglingòtac
303	dodrzeć	dodrzéc
304	Importuj zakładki z pliku w formacie Ulubionych z Internet Eksplorera	Impòrtëjë załóżczi z lopka w fòrmace Ùlubionëch Internet Explorera
305	Osadzony edytor tekstu	Òbsôdzony editor tekstu
306	apokryficzny	apòkrificzny
307	zdziobać	zdzëbac
308	zaaresztować	pańdowac
309	kark	tiłk
310	odmykać	òtmëkac
311	Potrzebujesz konta użytkownika w Systemie śledzenia błędów KDE, aby wysłać raport o błędzie, ponieważ może zajść potrzeba późniejszego skontaktowania się z Tobą w celu zdobycia dalszych informacji. Jeśli jeszcze nie posiadasz konta, możesz założyć je tutaj. info status	Je ce nót kònta brëkòwnika w Systemie szlachòwaniô felów KDE, abë wësłac rapòrt ò felë, temù że mòże bëc pòzdze nót sparłãczëc sã z tobą dlô dobëcô dalszi wëdowiédzë. Jeżlë jesz ni môsz kònta to mòżesz je założëc tuwò. info status
312	Nie można zmienić właściciela pliku. Brak odpowiednich praw dostępu do pliku.	Ni mòże zmienic miéwcë lopka . Felënk pasownëch prawów przistãpù do lopka.
313	urywek	wëjimk
314	allongarese	na wãgersczé mòdło
315	Skrót do adresu URL	Lënk do adresë URL
316	spaść	spadnąc
317	bezszelestny	wëgłëszony
318	przygłuchy	przëgłëchi
319	prosię	parsã
320	Arch E	Arch E
321	Emulator gry zręcznościowej	Emùlatora chwatkòwi grë
322	skapo	skrómno
323	jedzenie	jedzenié
324	Gnome SpotkaniaGeneric	GnomeMeetingGeneric
325	wieprzak	wieprzôk
326	doleczenie się	doléczenié sã
327	muskać	smùkac
328	Ponów żądanie i sprawdź, czy dane uwierzytelnienia są podane poprawnie.	Znowi żądanié ë sprôwdzë, czë pòdôwczi ùdowierzeniô są wpisóné bezzmiłkòwò.
329	delegalizacja	delegalizacjô
330	Okno	Òkno
331	Szyling somalijski	Somalijsczi Sziling
332	błąd podczas parsowania zawartościQXml	fela òbczôs parsowaniô dopòwiescëQXml
333	Wybierz format	Wëbiérk fòrmatu
334	Zastąp wszystkie	Nadpiszë wszëtczé
335	wadliwie	felowato
336	okręcik	òkrãcëk
337	pyskować	flabòtac
338	Żeby to polecenie zadziałało, konieczne jest połączenie z Internetem. Pojawi się okienko z listą motywów z witryny http www. kde. org. Kliknięcie przycisku Instaluj zainstaluje wybrany motyw.	Mùszisz bëc sparłãczony z internetã bë brëkòwac tegò dzéjaniô. Wëskrzëni ce sã lësta temów ze starnë http www. kde. org. Klëkni na knąpã Instalëjë bë téma winstalowa sã môlowò.
339	cisnąć się	cësnąc sã
340	którykolwiek	jaczikòlwiek
341	niespełna	nieczësto
342	ponakazywać	pònakazac
343	kosmaty	kòsmati
344	Narzędzie tekstowe	Tekstowi editora
345	Symbole muzyczne	Mùzykòwé céchë
346	Pokaż ścieżkę	Wëskrzëni stegnã
347	Ścieżka do katalogu autostartu XDG	Katalog aùtostartu XDG
348	bałwochwalca	tczëcél bóżków
349	chudzielec	ùmiartélc
350	określać	òpisëwac
351	Ulubiona muzyka	Lubòtné albùmë
352	adiustacja	adjustacjô
353	Edytor pędzli	Tekstowi editora
354	magister	magister
355	Dodaj dane	Dodôj pòdôwczi
356	paskudzić	swiniarzëc
357	bogaczka	bògôczka
358	niegodziwiec	niegòdzëjôsz
359	więcej	wiãcy
360	zasypać	zasëpac
361	Przybliżenie	Wëzdrzatk
362	wnet	wnetczi
363	rzeszotarz	rzeszotôrz
364	błyskawica	chlastawica
365	piecuch	leżëch
366	Nic do włączenia	Nie dô nick do włączeniô
367	zręczny	zdarny
368	strącić	zepchnąc
369	modlić się	mòdlëc sã
370	kacerzowy	kaszérzowi
371	Nakładka	Nakłôdk
372	http www. cnrtl. fr definition \\\\ {}	http www. cnrtl. fr definition \\\\ {}
373	wariant dictionary variant	wariant dictionary variant
374	Dodaj filtr	Dodôj filtr
375	Kasieczka	Kaszulinka
376	wystać	wëstojec
377	prąd	sztróm
378	pan	wasta
379	paskudny	zbrzëdłi
380	patyczek	czijôszk
381	bachor	rozwòlańc
382	charłak	niwetka
383	podskoczyć	pòskòczëc
384	Momentami zamarzający deszcz ze śniegiemweather forecast	weather forecast
385	Aktualna sesja już zawiera transfer pliku przez ZModem.	W aktualny sesëji dérëje sélanié lopków ZModem.
386	Zapisz obrazek tła jako	Zapiszë òbrôzk spódkù jakno
387	końcowy	wëchòdny
388	Strona początkowa	Przédnô starna
389	SSH	SSH
390	przetrzymywać	przetrzëmac
391	kucharstwo	kùcharstwò
392	paźNovember	rujNovember
393	osłabnąć	òsłabnąc
394	mularski	mùlarzów
395	mocno	mòcno
396	Opcja udostępnia kilka cech pożytecznych dla zachowywania plików z rozszerzeniami Każde rozszerzenie określone w polu tekstowym będzie uaktualnione, jeśli zmienisz typ pliku. Jeśli nie określono rozszerzenia w polu tekstowym kiedy klikniesz Zapisz, zostanie dodane na końcu nazwy pliku o ile plik o tej nazwie nie istnieje. Rozszerzenie jest określone na podstawie typu pliku, jaki wybrałeś do zapisania. Jeśli nie chcesz, by KDE dodawało rozszerzenie do nazwy pliku możesz albo wyłączyć opcję, albo dodać kropkę . na końcu nazwy pliku kropka będzie automatycznie usunięta. Jeśli nie jesteś pewien, włącz opcję, w ten sposób pliki będą łatwiejsze do zarządzania.	Òptacëjô ùprzistãpniô czile brëkòwnëch rzeczë dlô ùchòwaniô lopków z rozszérzeniami Kòżdé rozszérzenié òpisóné w tekstowim pòlu bãdze zaktualnioné, jeżlë zmienisz ôrt lopka. Jeżlë nie òpisóno rozszérzeniô w tekstowim pòlu jak klëkniesz Zapiszë, òstônie dodóné na kùńcu miona lopka jeżlë to nie dô lopka ò tim mionie. Rozszérzenié je òpisóné na spòdlém ôrtu lopka, jaczi òstôł wëbróny do zapisaniô. Jeżlë nie chcesz, bë KDE dodôwało rozszérzenié do miona lopka mòżesz abò wëłãczëc òptacëjã, abò dodac pùnkt . na kùńcu miona lopka pùnkt bãdze aùtomatno rëmniãti. Jeżlë nie jes gwës, włączë òptacëjã, na nen ôrt lopkama bãdze szłolżi sprôwiac.
397	dynamometr	dinamòméter
398	cukrowiec	cëkrówc
399	sąsiad	sąsôd
400	Jeśli ta opcja jest włączona, wszyscy użytkownicy z poniższej listy będą mogli się zalogować bez podawania hasła dotyczy to jedynie logowania w trybie graficznym za pomocą KDM. Zastanów się dobrze przed włączeniem tej opcji!	Jeżlë na òptacëjô je włączonô, wszëtcë brëkòwnicë z lëstë niżi bãdą mògle zalogòwac sã bez pòdówaniô paroli tikô sã to lós logòwaniô w grafikòwim tribie za pòmòcą KDM. Przemëszlë to dobrze przed włączeniém ti òptacëji!
401	sztacheta	sztachéta
402	Nie można zalogować się do być może hasło jest nieprawidłowe.	Nie mòże wlogòwac sã do mòże bëc, że parola je zmiłkòwô.
403	krzyczeć	wrzeszczec
404	torf	mòda
405	aluminium	aluminium
406	Prawy przycisk myszy cofa do poprzedniej strony	Prawô knąpa mëszë copô w historëji
407	móc	mòc
408	czołówka	przódk
409	Ostatnio używane	Biéżne dokùmentë
410	astmatyczność	dichawicznosc
411	Usługa LISa	Ùsłëżnota LISa
412	religia	religiô
413	rzeczka	rzéczka
414	bisurmański	òdstãpczi
415	Usuń wybraną emotikonę	Rëmôj wëbróną emòtikònã
416	skrobnąć	szkrobnąc
417	połamać się	pòłamic sã
418	egotysta	sobiech
419	zostać	òstac
420	szosa	szasé
421	przylepiać się	lnąc
422	cynować	cënowac
423	biuralistka	bióralistka
424	Urządzenie to nie dysk i nie można go wysunąć.	Mòżlëwé, że to nie dô pòdónegò dostónka.
425	Przezroczystość	Przezérnota
426	pozostałość	zbiég
427	nać	nac
428	Wymagaj hasła do zatrzymania	Żãdôj parolë do zatrzëmaniô
429	bretnal	prén
430	Zła nazwa użytkownika lub hasło	Lëché miono brëkòwnika abò parolã
431	dostatni	dostatny
432	Złożenie trzech kolorów	Złożenié trzech farwów
433	paskudny	przesniti
434	żołądek	żót
435	pieprzny	pieprzny
436	piaszczysty	piôszczany
437	domielać	domielac
438	TV TomeQuery	TV TomeQuery
439	zakryć	zakrëc
440	becik	pierzënka
441	KatalogMac OS X Finder	Mac OS X Finder
442	beztensjonalność	beztensjonalnosc
443	haczyk	hôczk
444	chłosta	bicé
445	mrudolf kdewebdev. org, jstolarz kde. org	mark linuxcsb. org, michol linuxcsb. org
446	schodzić na złą drogę	jic w alelujã
447	rabować	rabòwac
448	błyszczeć	błëszczec
449	załaskotać	zagôłdzëc
450	dpi jednokierunkowy	dpi jednoczérënkòwi
451	jest większy niż	je wikszi jak
452	Użyj koloru z motywu pulpitu	Ùżëjë témã farwów biéżnegò pùltu
453	ThooutCoptic	ThooutCoptic
454	umieszczać	miescëc
455	Można pobrać ht dig ze strony domowej programu	Mòżesz brëkòwac ht dig przë domôcy starnie ht dig.
456	Pliki tekstowe	Tekstowé lopczi
457	Logowanie lokalne	Môlowé logòwanié
458	baroński	baróńsczi
459	Ulewy, deszcz, mgławeather condition	weather condition
460	nieprawość	niebëlnictwò
461	units	TiB sunits
462	zginać	ùdżibac
463	To jest filtr, stosowany do listy plików. Pliki, których nazwy nie pasują do listy, nie będą wyświetlane. Możesz wybrać jeden z dostępnych filtrów z listy rozwijanej lub wpisać własny filtr bezpośrednio w polu edycyjnym. Obsługiwane są znaki specjalne, takie jak i?.	To je filter, brëkòwóny do lëstë lopków. Lopczi, jaczich miona nie pasëją do lëstë, nie bãdą wëskrzëniwóné. Mòżesz wëbrac jeden z przistãpnëch filtrów z rozwijóny lëstë abò wpisac swój filter prosto w edicëjnëm pòlu. Òbsłëgiwóné są szpecjalné céchë, taczé jakno ë?.
464	KB	KB
465	Lepkie klawisze zostały włączone. Od tej chwili klawisze modyfikujące pozostaną włączone po ich puszczeniu.	Klawisze przëlepieniô òstałë włączoné. Òd terô mòdifikùjącé klawisze òstaną włączoné pò jich pùszczeniém.
466	balka	balka
467	dren	dren
468	port	hôwinga
469	podsiewać	pòdséwac
470	guślarka	gùslôrka
471	bocianię	bocianiątko
472	krokowianin	krokòwión
473	cukierkowaty	miodny
474	Poprawki i aktualny opiekun	Pòprôwczi ë terny òpiekùn
475	powiedzieć	pòwiedzec
476	wielkanocny	jastrowi
477	kształtny	szëkòwny
478	Kartridże kolorowe i czarne	Kartridże farwné ë czôrné
479	Wg datySort icons	Wedle datumaSort icons
480	gimnastyk	gimnastik
481	Polecenie, za pomocą którego został uruchomiony ten proces.	Pòlét z jaczim òstôł zrëszony proces.
482	okręcić się	zwinąc sã
483	studiowanie	sztudérowanié
484	Konfiguracja rozszerzonych cech przeglądania	Kònfigùracëjô rozszérzonëch cechów przezéraniô
485	dziadów	starków
486	zaafiszować się	przeslécëc sã
487	decymalny	decymalny
488	dyby	kłódczi
489	Wyślij sygnał	Sélôj sygnal
490	Podpowiedzi	Pòdpòwiescë
491	Przeglądarka elementów interfejsu Plazmy	Przezérnik widżetów Plasmë
492	przystanek	pòżdôwk
493	Pierwszy plik that displays difference between current file and merge source	that displays difference between current file and merge source
494	w zimie	zëmą
495	ostrożny	òstróżny
496	kupiec	hańdlówc
497	nocować	nocnikòwac
498	wdówka	gdówka
499	deskowanie	délowanié
500	żona pantoflarza	rejterbaba
501	Wiersz Kol	Réżka Kòl
502	dragoński	dragóńsczi
503	Europa Budapeszt	Eùropa Bùdapeszt
504	upuścić	spùscëc
505	patelenka	paneweczka
506	Ustawienia naturalnego układu	Nastôw natularnegò ùstôwù
507	suczka	sëczka
508	Aktualizacja informacji o wersji	Zaktualnienie wëdowiédzë ò wersëji
509	Przenieś	Przesënié
510	po	òb
511	Najpierw musisz wybrać politykę do zmiany.	Wprzód je nót wëbrac pòlitikã do zjinaczi.
512	gatunek sieci rybackich	wata
513	Drezno	Drezdno
514	Użyj podanego skryptu serwera pośredniczącego do konfiguracji.	Ùżëjë pòdónegò skriptu pòstrzédniczącegò serwera do kònfigùracëji.
515	Moje sąsiedztwo	Mòje sąsedztwò
516	łuszczyć się	łëzgac sã
517	Wolimira	Wòlëmira
518	belfer	belfer
519	Etykieta	Òpisënk
520	Podziel widok na dwie części	Pòdzélë wëzdrzatk na dwa panele
521	pasztetnik	pasztétnik
522	dwunasty	dwanôsti
523	pąkla	pąkla
524	krowa dojna	dojnica
525	Kalendarz	Kalãdôrz
526	Nie można zainstalować	Ni mòże winstalowac
527	Pokaż opcje dla	Pòkôżë òptacëje dlô
528	dokołatać się	doprosëc sã
529	szabelka	szabelka
530	biedny	biédëchny
531	arogancko	kąszno
532	Prenumeruj	Subskribùjë
533	Bezpieczne nazwy VFAT	Bezpiéczé miona VFAT
534	Po poleceniu poznaj powinna być nazwaYou are about to translate the True COMMAND, there are some rules on how to translate it. Please see http edu. kde. org kturtle translator. php to learn how to properly translate it.	You are about to translate the True COMMAND, there are some rules on how to translate it. Please see http edu. kde. org kturtle translator. php to learn how to properly translate it.
535	Gnome ToSamoGeneric	Gnome ToSamòGeneric
536	budulec	materiôł
537	Szybkoschnąca folia	Chùtkòschnącô fòlia
538	Teq	Teq
539	konstytucja	kònstitucjô
540	Poziom tuszu żółtego	Równio żôłti tintë
541	Pionowe linie	Wertikalné rézë
542	tęsknić	tesknic
543	Odrzucaj	Pòcësnié
544	Zdjęcia	Òbrazczi
545	salon	pańskô jizba
546	Adres serwera pośredniczącego HTTPS.	Adresa pòstrzédniczącegò serwera HTTPS.
547	obdartusy	kòdractwò
548	dyszkant	diszkant
549	podpalać	pòdpalac
550	mrudolf kdewebdev. org, Wojciech. Milewski wp. pl	mark linuxcsb. org, michol linuxcsb. org
551	przycapić	przëchwacëc
552	ChaitraIndian	ChaitraIndian
553	GnotskiGeneric	GnotskiGeneric
554	Walery	Waleri
555	jako wersja	jak wersjô
556	ciężkość	cãżkòsc
557	Pokaż zamknięte pliki	Pòkôżë zamkłé lopczi
558	zapomnieć	zabaczëc
559	asteniczny	asteniczny
560	kureczka	tipùszka
561	Na prawo	Na prawò
562	gwizd	gwizdniãcé
563	hakatystyczny	szowinisticzny
564	aresztant	sôdzewi
565	cacy	aja
566	Nie można uruchomić modułu obsługi skryptów ScriptEngine dla elementu interfejsu. Package file, name of the widget	Nie mòże ùsôdzëc ScriptEngine dlô widżetu .
567	uwodzicielski	manicelsczi
