	pol_Latn	csb_Latn
125	Kòmòrjańsczi Frank	Frank kongijski
126	Eùropa Isle of Man	Europa Wyspa Man
127	weather condition	Burza, lekki deszcz, gradweather condition
128	tcza	chwała
129	równie	poziomy
130	szkalinga	kłótnia
131	Kłonecznica	Kłoniecznica
132	marazm	marazm
133	wãgòrzińc	żak na węgorze
134	przedrowié	przedpòle
135	przédnik	naczelnik
136	ùnieszczestlëwic	unieszczęśliwić
137	zbëwac	gubić
138	elewacjô	elewacja
139	marwic sã	tlić się
140	wôrtno	warto
141	bratobójczi	bratobójczy
142	wërobic	uskutecznić
143	Blós wskôzëwôcz	Tylko wyświetlanie
144	lónowac	opłacać się
145	Serif Font name	Szeryfowa Font name
146	racjonalny	racjonalny
147	Mòżesz nie miec dosc prawa do przëjãcô negò sparłãczeniô.	Możesz nie mieć praw do przyjęcia tego połączenia.
148	kruzowac sã	mieć loki
149	odnajëmac	odnajmować
150	strodżi	wielki
151	Felëją skònfigùrowóné ùsłëżnotë	Nie skonfigurowano usługi.
152	mòcą przëłãczac	anektować
153	Wëbierzë	Zaznacz
154	narcyz	narcyz
155	Rëmnąc témë?	Usunąć motywy?
156	gòrączkòwi	gorączkowy
157	Zemberek label listbox	Zemberek label listbox
158	krãcëc	wić
159	szwajcarskô	szwajcaria
160	łómnota	łamliwość
161	W programie pòkôza sã fela przë robòce	Podczas wykonywania zadania wystąpił błąd
162	QODBCResult	Nie można pobrać pierwszego wynikuQODBCResult
163	pierwòrództwò	pierworodztwo
164	spôlony	spalony
165	DeskJet C z duplekserã	DeskJet C z duplekserem
166	rozsadzac	rozsadzać
167	rozrzëtnosc	rozrzutność
168	nieswiadomosc	nieświadomy
169	Zrëszë F	Uruchom F
170	wganiac	wganiać
171	Lewi kanał	Kanał lewy
172	zasłëgòwac	zasługiwać
173	niedowinnosc	niewinność
174	niezanôleżnosc	niezależność
175	mirzec	nie podobać
176	sostra	pielęgniarka
177	ùrzemka	pagórek
178	Òglowi	Ogólne
179	Ni mòże nasłëchiwac	Nie można nasłuchiwać
180	Włączonéunderline	Włączoneunderline
181	marnie	nędznie
182	Òpisënk programë brëkòwnika Lynx . .	Opis przeglądarki użytkownika Lynx..
183	wëkôz	wyszczególnienie
184	dwanôscekrotno	dwunastokrotnie
185	ostro	ostro
186	królowac	królować
187	alenié	bicie
188	ucwardzenié stôlë	nastalenie
189	Systemòwé nastôwë ni mògłë nalezc niżódnëch wëzdrzatków, téj nick nie je przëstãpné do kònfigùracëji.	Nie udało się znaleźć żadnego widoku, więc nie można nic skonfigurować.
190	łbiskò	łbisko
191	Cholesterol Free Desktop Environment, wersëjô graficzné òkrãże szlachùjące za CDE	Cholesterol Free Desktop Environment, wersja środowisko graficzne podobne do CDE.
192	òkazac sã	okazać się
193	òddzerzgnąc	odprząć
194	zagrażac	zagrażać
195	Ni mòże ùsôdzëc gniôzda!	Nie można zidentyfikować bieżącego stanowiska.
196	òblizac	oblizać
197	równowôrtny	oboczny
198	zamiesczi	podmiejski
199	Nagrôj media	Nagrywaj media
200	weather condition	Intensywne ulewy deszczoweweather condition
201	Léna	Halina
202	pòscygnąc	pościągać
203	òdżin	naczyniak płaski
204	weather condition	Intensywna mżawkaweather condition
205	dołożëc	dołożyć
206	Spódkòwi òbrôzk dlô panelów	Obrazek tła elementów interfejsu
207	Skalowóno	Skalowanie
208	Òglowé pòdrëchòwanié	Suma ogólna
209	chôłpac	wiać
210	NAME OF TRANSLATORS	Podczas próby zakończenia udostępnienia katalogu wystąpił błąd. Proszę sprawdzić, czy skrypt perlowy fileshareset ma ustawioną flagę suid root. NAME OF TRANSLATORS
211	gwańdac	babrać się
212	Menu kanalów	Menu czcionek
213	błãdny	błędny
214	przezroczny	mający przeszło rok
215	cenzuralny	cenzuralny
216	wariactwò	wariactwo
217	ùtrôp	aukcja
218	bezdnowi	bezdenny
219	sromajk	nieśmiały
220	Òtemkni Terminal	Otwórz terminal
221	Sebastión	Sebastian
222	Zort Group length total play of group playlist column name and token for playlist layouts	Gatunek Group length total play of group playlist column name and token for playlist layouts
223	Jeżlë jes ti dbë, że wôrt je sélac rapòrt a programa je wspierónô przez systemã szlachòwaniô felów KDE, nót je ce sparłãczëc sã prosto z opiekùnã programë. info	Jeśli okaże się, że warto wysłać raport, ale program nie jest obsługiwany przez system śledzenia błędów KDE, należy skontaktować się bezpośrednio z opiekunem programu. info
224	òdprzedac	odsprzedawać
225	Wëstãpiła bënowô fela. Proszã pòwtórzëc probã.	Wystąpił błąd wewnętrzny. Proszę powtórzyć próbę.
226	wëdowiadë	zwiady
227	szelmiszczkò	bałamutka
228	Aùtomatné wëkrëwanié zmiennëch z pòdôwkama pòstrzédnika	Wykrywanie zmiennych środowiskowych z danymi pośrednika
229	depùtacjô	deputacja
230	gwiôzdowi	astralny
231	włączenié	anszlus
232	rozscelëc	rozścielić
233	rozbleczec sã	rozbeczeć się
234	palmiarniô	palmiarnia
235	carsczi	carski
236	Fela Nie mòże zrëszëc smbstatus	Błąd Nie można uruchomić smbstatus
237	Instalëjë wpisënczi menu Start to je téż domëszlné czej òptacëjô nie je w ùżëcym	Instaluj wpisy menu Start jest to także domyślne, kiedy ta opcja nie zostanie użyta
238	DDD	DDD
239	Kalkùlatora	Kalkulator
240	Czãsto ùżëwóné programë z restrikcjama dlô Kubuntu mp, avi, mpeg, TrueType, Java, Flash	Powszechnie używane programy z ograniczonymi dla Kubuntu prawami własnościowymi mp, avi, mpeg, TrueType, Java, Flash
241	òdskòknąc	odskoczyć
242	Przepisanié na KDE ë dodôwczi	Wersja KDE i rozbudowa
243	wërãbiac	wyrębywać
244	dzélã	częściowo
245	babiôrz	babiarz
246	kòk	guz
247	Open Frame in New Window	Skopiuj obrazOpen Frame in New Window
248	zachòdzëc	zachodzić
249	łowny	łowny
250	procemni	wobec
251	niezanôleżnosc	niezależność państwowa
252	zaskrzeczec	zaskrzeczeć
253	mrzéc	pościć
254	AgrIndian	AgrIndian
255	bic plazą	płazować
256	pòdskacac	inspirować
257	leganic	nygusować
258	Wëkùńczającé ùrządzenié dodówny	Urządzenie wykańczające opcja
259	Dodôwné òptacëje	Dodatkowe opcje
260	banalnie	banalnie
261	mùchòrôj	muchomor
262	Skript unicode	Skrypt Unicode
263	napùscëc rëbi młodzënë	narybiać
264	stósnica	diabliczka
265	môl zasztepòwóny	cerka
266	môłpiôtka	małpiatka
267	ùpôdk	upadek
268	pòsobicą	kolejno
269	Bònus czej >	Bonus, jeżeli >
270	aloesowi	aloesowy
271	czapac sã	babrać się
272	Andżelika	Andżelika
273	gabinet	gabinet
274	tczenié	czczenie
275	nieszëkòwnosc	niezdarność
276	cemiã	ciemię
277	sztëczk	kąsek
278	zapùszczony	uruchomiony
279	niewëgòdnie	niewygodnie
280	Serwery, skriptë starnów	Serwery, skrypty stron
281	miech	worek
282	szafôrczin	szafarki dotyczący
283	płatwa	płetwa
284	hańdlôrz przëprawama	korzennik
285	bałaganiarstwò	bałaganiarstwo
286	leszczowi	leszczowy
287	niezjiscenié	niespełnienie
288	lama	lama
289	miłoscëwie	uprzejmie
290	baleczka	beleczka
291	Ùłożë pòprówno elementë	Spróbuj ułożyć elementy w odpowiedniej kolejności
292	Kùwerta mònarchë	Koperta monarchy
293	flaba	morda
294	Skriptowé ùãłëżnotë	Interfejs skryptów
295	wëgòdno	wygodnie
296	Stark	Dziadek
297	sprawiedlëwòsc	sprawiedliwość
298	Wëdowiédzô ò nastôwach zwãkù	Informacje o ustawieniach dźwięku
299	brzãczec	bzykać
300	Przenosné	Wymienne
301	Solaris info	Solaris info
302	zaglingòtac	zatrząść się
303	dodrzéc	dodrzeć
304	Impòrtëjë załóżczi z lopka w fòrmace Ùlubionëch Internet Explorera	Importuj zakładki z pliku w formacie Ulubionych z Internet Eksplorera
305	Òbsôdzony editor tekstu	Osadzony edytor tekstu
306	apòkrificzny	apokryficzny
307	zdzëbac	zdziobać
308	pańdowac	zaaresztować
309	tiłk	kark
310	òtmëkac	odmykać
311	Je ce nót kònta brëkòwnika w Systemie szlachòwaniô felów KDE, abë wësłac rapòrt ò felë, temù że mòże bëc pòzdze nót sparłãczëc sã z tobą dlô dobëcô dalszi wëdowiédzë. Jeżlë jesz ni môsz kònta to mòżesz je założëc tuwò. info status	Potrzebujesz konta użytkownika w Systemie śledzenia błędów KDE, aby wysłać raport o błędzie, ponieważ może zajść potrzeba późniejszego skontaktowania się z Tobą w celu zdobycia dalszych informacji. Jeśli jeszcze nie posiadasz konta, możesz założyć je tutaj. info status
312	Ni mòże zmienic miéwcë lopka . Felënk pasownëch prawów przistãpù do lopka.	Nie można zmienić właściciela pliku. Brak odpowiednich praw dostępu do pliku.
313	wëjimk	urywek
314	na wãgersczé mòdło	allongarese
315	Lënk do adresë URL	Skrót do adresu URL
316	spadnąc	spaść
317	wëgłëszony	bezszelestny
318	przëgłëchi	przygłuchy
319	parsã	prosię
320	Arch E	Arch E
321	Emùlatora chwatkòwi grë	Emulator gry zręcznościowej
322	skrómno	skapo
323	jedzenié	jedzenie
324	GnomeMeetingGeneric	Gnome SpotkaniaGeneric
325	wieprzôk	wieprzak
326	doléczenié sã	doleczenie się
327	smùkac	muskać
328	Znowi żądanié ë sprôwdzë, czë pòdôwczi ùdowierzeniô są wpisóné bezzmiłkòwò.	Ponów żądanie i sprawdź, czy dane uwierzytelnienia są podane poprawnie.
329	delegalizacjô	delegalizacja
330	Òkno	Okno
331	Somalijsczi Sziling	Szyling somalijski
332	fela òbczôs parsowaniô dopòwiescëQXml	błąd podczas parsowania zawartościQXml
333	Wëbiérk fòrmatu	Wybierz format
334	Nadpiszë wszëtczé	Zastąp wszystkie
335	felowato	wadliwie
336	òkrãcëk	okręcik
337	flabòtac	pyskować
338	Mùszisz bëc sparłãczony z internetã bë brëkòwac tegò dzéjaniô. Wëskrzëni ce sã lësta temów ze starnë http www. kde. org. Klëkni na knąpã Instalëjë bë téma winstalowa sã môlowò.	Żeby to polecenie zadziałało, konieczne jest połączenie z Internetem. Pojawi się okienko z listą motywów z witryny http www. kde. org. Kliknięcie przycisku Instaluj zainstaluje wybrany motyw.
339	cësnąc sã	cisnąć się
340	jaczikòlwiek	którykolwiek
341	nieczësto	niespełna
342	pònakazac	ponakazywać
343	kòsmati	kosmaty
344	Tekstowi editora	Narzędzie tekstowe
345	Mùzykòwé céchë	Symbole muzyczne
346	Wëskrzëni stegnã	Pokaż ścieżkę
347	Katalog aùtostartu XDG	Ścieżka do katalogu autostartu XDG
348	tczëcél bóżków	bałwochwalca
349	ùmiartélc	chudzielec
350	òpisëwac	określać
351	Lubòtné albùmë	Ulubiona muzyka
352	adjustacjô	adiustacja
353	Tekstowi editora	Edytor pędzli
354	magister	magister
355	Dodôj pòdôwczi	Dodaj dane
356	swiniarzëc	paskudzić
357	bògôczka	bogaczka
358	niegòdzëjôsz	niegodziwiec
359	wiãcy	więcej
360	zasëpac	zasypać
361	Wëzdrzatk	Przybliżenie
362	wnetczi	wnet
363	rzeszotôrz	rzeszotarz
364	chlastawica	błyskawica
365	leżëch	piecuch
366	Nie dô nick do włączeniô	Nic do włączenia
367	zdarny	zręczny
368	zepchnąc	strącić
369	mòdlëc sã	modlić się
370	kaszérzowi	kacerzowy
371	Nakłôdk	Nakładka
372	http www. cnrtl. fr definition \\\\ {}	http www. cnrtl. fr definition \\\\ {}
373	wariant dictionary variant	wariant dictionary variant
374	Dodôj filtr	Dodaj filtr
375	Kaszulinka	Kasieczka
376	wëstojec	wystać
377	sztróm	prąd
378	wasta	pan
379	zbrzëdłi	paskudny
380	czijôszk	patyczek
381	rozwòlańc	bachor
382	niwetka	charłak
383	pòskòczëc	podskoczyć
384	weather forecast	Momentami zamarzający deszcz ze śniegiemweather forecast
385	W aktualny sesëji dérëje sélanié lopków ZModem.	Aktualna sesja już zawiera transfer pliku przez ZModem.
386	Zapiszë òbrôzk spódkù jakno	Zapisz obrazek tła jako
387	wëchòdny	końcowy
388	Przédnô starna	Strona początkowa
389	SSH	SSH
390	przetrzëmac	przetrzymywać
391	kùcharstwò	kucharstwo
392	rujNovember	paźNovember
393	òsłabnąc	osłabnąć
394	mùlarzów	mularski
395	mòcno	mocno
396	Òptacëjô ùprzistãpniô czile brëkòwnëch rzeczë dlô ùchòwaniô lopków z rozszérzeniami Kòżdé rozszérzenié òpisóné w tekstowim pòlu bãdze zaktualnioné, jeżlë zmienisz ôrt lopka. Jeżlë nie òpisóno rozszérzeniô w tekstowim pòlu jak klëkniesz Zapiszë, òstônie dodóné na kùńcu miona lopka jeżlë to nie dô lopka ò tim mionie. Rozszérzenié je òpisóné na spòdlém ôrtu lopka, jaczi òstôł wëbróny do zapisaniô. Jeżlë nie chcesz, bë KDE dodôwało rozszérzenié do miona lopka mòżesz abò wëłãczëc òptacëjã, abò dodac pùnkt . na kùńcu miona lopka pùnkt bãdze aùtomatno rëmniãti. Jeżlë nie jes gwës, włączë òptacëjã, na nen ôrt lopkama bãdze szłolżi sprôwiac.	Opcja udostępnia kilka cech pożytecznych dla zachowywania plików z rozszerzeniami Każde rozszerzenie określone w polu tekstowym będzie uaktualnione, jeśli zmienisz typ pliku. Jeśli nie określono rozszerzenia w polu tekstowym kiedy klikniesz Zapisz, zostanie dodane na końcu nazwy pliku o ile plik o tej nazwie nie istnieje. Rozszerzenie jest określone na podstawie typu pliku, jaki wybrałeś do zapisania. Jeśli nie chcesz, by KDE dodawało rozszerzenie do nazwy pliku możesz albo wyłączyć opcję, albo dodać kropkę . na końcu nazwy pliku kropka będzie automatycznie usunięta. Jeśli nie jesteś pewien, włącz opcję, w ten sposób pliki będą łatwiejsze do zarządzania.
397	dinamòméter	dynamometr
398	cëkrówc	cukrowiec
399	sąsôd	sąsiad
400	Jeżlë na òptacëjô je włączonô, wszëtcë brëkòwnicë z lëstë niżi bãdą mògle zalogòwac sã bez pòdówaniô paroli tikô sã to lós logòwaniô w grafikòwim tribie za pòmòcą KDM. Przemëszlë to dobrze przed włączeniém ti òptacëji!	Jeśli ta opcja jest włączona, wszyscy użytkownicy z poniższej listy będą mogli się zalogować bez podawania hasła dotyczy to jedynie logowania w trybie graficznym za pomocą KDM. Zastanów się dobrze przed włączeniem tej opcji!
401	sztachéta	sztacheta
402	Nie mòże wlogòwac sã do mòże bëc, że parola je zmiłkòwô.	Nie można zalogować się do być może hasło jest nieprawidłowe.
403	wrzeszczec	krzyczeć
404	mòda	torf
405	aluminium	aluminium
406	Prawô knąpa mëszë copô w historëji	Prawy przycisk myszy cofa do poprzedniej strony
407	mòc	móc
408	przódk	czołówka
409	Biéżne dokùmentë	Ostatnio używane
410	dichawicznosc	astmatyczność
411	Ùsłëżnota LISa	Usługa LISa
412	religiô	religia
413	rzéczka	rzeczka
414	òdstãpczi	bisurmański
415	Rëmôj wëbróną emòtikònã	Usuń wybraną emotikonę
416	szkrobnąc	skrobnąć
417	pòłamic sã	połamać się
418	sobiech	egotysta
419	òstac	zostać
420	szasé	szosa
421	lnąc	przylepiać się
422	cënowac	cynować
423	bióralistka	biuralistka
424	Mòżlëwé, że to nie dô pòdónegò dostónka.	Urządzenie to nie dysk i nie można go wysunąć.
425	Przezérnota	Przezroczystość
426	zbiég	pozostałość
427	nac	nać
428	Żãdôj parolë do zatrzëmaniô	Wymagaj hasła do zatrzymania
429	prén	bretnal
430	Lëché miono brëkòwnika abò parolã	Zła nazwa użytkownika lub hasło
431	dostatny	dostatni
432	Złożenié trzech farwów	Złożenie trzech kolorów
433	przesniti	paskudny
434	żót	żołądek
435	pieprzny	pieprzny
436	piôszczany	piaszczysty
437	domielac	domielać
438	TV TomeQuery	TV TomeQuery
439	zakrëc	zakryć
440	pierzënka	becik
441	Mac OS X Finder	KatalogMac OS X Finder
442	beztensjonalnosc	beztensjonalność
443	hôczk	haczyk
444	bicé	chłosta
445	mark linuxcsb. org, michol linuxcsb. org	mrudolf kdewebdev. org, jstolarz kde. org
446	jic w alelujã	schodzić na złą drogę
447	rabòwac	rabować
448	błëszczec	błyszczeć
449	zagôłdzëc	załaskotać
450	dpi jednoczérënkòwi	dpi jednokierunkowy
451	je wikszi jak	jest większy niż
452	Ùżëjë témã farwów biéżnegò pùltu	Użyj koloru z motywu pulpitu
453	ThooutCoptic	ThooutCoptic
454	miescëc	umieszczać
455	Mòżesz brëkòwac ht dig przë domôcy starnie ht dig.	Można pobrać ht dig ze strony domowej programu
456	Tekstowé lopczi	Pliki tekstowe
457	Môlowé logòwanié	Logowanie lokalne
458	baróńsczi	baroński
459	weather condition	Ulewy, deszcz, mgławeather condition
460	niebëlnictwò	nieprawość
461	TiB sunits	units
462	ùdżibac	zginać
463	To je filter, brëkòwóny do lëstë lopków. Lopczi, jaczich miona nie pasëją do lëstë, nie bãdą wëskrzëniwóné. Mòżesz wëbrac jeden z przistãpnëch filtrów z rozwijóny lëstë abò wpisac swój filter prosto w edicëjnëm pòlu. Òbsłëgiwóné są szpecjalné céchë, taczé jakno ë?.	To jest filtr, stosowany do listy plików. Pliki, których nazwy nie pasują do listy, nie będą wyświetlane. Możesz wybrać jeden z dostępnych filtrów z listy rozwijanej lub wpisać własny filtr bezpośrednio w polu edycyjnym. Obsługiwane są znaki specjalne, takie jak i?.
464	KB	KB
465	Klawisze przëlepieniô òstałë włączoné. Òd terô mòdifikùjącé klawisze òstaną włączoné pò jich pùszczeniém.	Lepkie klawisze zostały włączone. Od tej chwili klawisze modyfikujące pozostaną włączone po ich puszczeniu.
466	balka	balka
467	dren	dren
468	hôwinga	port
469	pòdséwac	podsiewać
470	gùslôrka	guślarka
471	bocianiątko	bocianię
472	krokòwión	krokowianin
473	miodny	cukierkowaty
474	Pòprôwczi ë terny òpiekùn	Poprawki i aktualny opiekun
475	pòwiedzec	powiedzieć
476	jastrowi	wielkanocny
477	szëkòwny	kształtny
478	Kartridże farwné ë czôrné	Kartridże kolorowe i czarne
479	Wedle datumaSort icons	Wg datySort icons
480	gimnastik	gimnastyk
481	Pòlét z jaczim òstôł zrëszony proces.	Polecenie, za pomocą którego został uruchomiony ten proces.
482	zwinąc sã	okręcić się
483	sztudérowanié	studiowanie
484	Kònfigùracëjô rozszérzonëch cechów przezéraniô	Konfiguracja rozszerzonych cech przeglądania
485	starków	dziadów
486	przeslécëc sã	zaafiszować się
487	decymalny	decymalny
488	kłódczi	dyby
489	Sélôj sygnal	Wyślij sygnał
490	Pòdpòwiescë	Podpowiedzi
491	Przezérnik widżetów Plasmë	Przeglądarka elementów interfejsu Plazmy
492	pòżdôwk	przystanek
493	that displays difference between current file and merge source	Pierwszy plik that displays difference between current file and merge source
494	zëmą	w zimie
495	òstróżny	ostrożny
496	hańdlówc	kupiec
497	nocnikòwac	nocować
498	gdówka	wdówka
499	délowanié	deskowanie
500	rejterbaba	żona pantoflarza
501	Réżka Kòl	Wiersz Kol
502	dragóńsczi	dragoński
503	Eùropa Bùdapeszt	Europa Budapeszt
504	spùscëc	upuścić
505	paneweczka	patelenka
506	Nastôw natularnegò ùstôwù	Ustawienia naturalnego układu
507	sëczka	suczka
508	Zaktualnienie wëdowiédzë ò wersëji	Aktualizacja informacji o wersji
509	Przesënié	Przenieś
510	òb	po
511	Wprzód je nót wëbrac pòlitikã do zjinaczi.	Najpierw musisz wybrać politykę do zmiany.
512	wata	gatunek sieci rybackich
513	Drezdno	Drezno
514	Ùżëjë pòdónegò skriptu pòstrzédniczącegò serwera do kònfigùracëji.	Użyj podanego skryptu serwera pośredniczącego do konfiguracji.
515	Mòje sąsedztwò	Moje sąsiedztwo
516	łëzgac sã	łuszczyć się
517	Wòlëmira	Wolimira
518	belfer	belfer
519	Òpisënk	Etykieta
520	Pòdzélë wëzdrzatk na dwa panele	Podziel widok na dwie części
521	pasztétnik	pasztetnik
522	dwanôsti	dwunasty
523	pąkla	pąkla
524	dojnica	krowa dojna
525	Kalãdôrz	Kalendarz
526	Ni mòże winstalowac	Nie można zainstalować
527	Pòkôżë òptacëje dlô	Pokaż opcje dla
528	doprosëc sã	dokołatać się
529	szabelka	szabelka
530	biédëchny	biedny
531	kąszno	arogancko
532	Subskribùjë	Prenumeruj
533	Bezpiéczé miona VFAT	Bezpieczne nazwy VFAT
534	You are about to translate the True COMMAND, there are some rules on how to translate it. Please see http edu. kde. org kturtle translator. php to learn how to properly translate it.	Po poleceniu poznaj powinna być nazwaYou are about to translate the True COMMAND, there are some rules on how to translate it. Please see http edu. kde. org kturtle translator. php to learn how to properly translate it.
535	Gnome ToSamòGeneric	Gnome ToSamoGeneric
536	materiôł	budulec
537	Chùtkòschnącô fòlia	Szybkoschnąca folia
538	Teq	Teq
539	kònstitucjô	konstytucja
540	Równio żôłti tintë	Poziom tuszu żółtego
541	Wertikalné rézë	Pionowe linie
542	tesknic	tęsknić
543	Pòcësnié	Odrzucaj
544	Òbrazczi	Zdjęcia
545	pańskô jizba	salon
546	Adresa pòstrzédniczącegò serwera HTTPS.	Adres serwera pośredniczącego HTTPS.
547	kòdractwò	obdartusy
548	diszkant	dyszkant
549	pòdpalac	podpalać
550	mark linuxcsb. org, michol linuxcsb. org	mrudolf kdewebdev. org, Wojciech. Milewski wp. pl
551	przëchwacëc	przycapić
552	ChaitraIndian	ChaitraIndian
553	GnotskiGeneric	GnotskiGeneric
554	Waleri	Walery
555	jak wersjô	jako wersja
556	cãżkòsc	ciężkość
557	Pòkôżë zamkłé lopczi	Pokaż zamknięte pliki
558	zabaczëc	zapomnieć
559	asteniczny	asteniczny
560	tipùszka	kureczka
561	Na prawò	Na prawo
562	gwizdniãcé	gwizd
563	szowinisticzny	hakatystyczny
564	sôdzewi	aresztant
565	aja	cacy
566	Nie mòże ùsôdzëc ScriptEngine dlô widżetu .	Nie można uruchomić modułu obsługi skryptów ScriptEngine dla elementu interfejsu. Package file, name of the widget
567	manicelsczi	uwodzicielski
